Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 41,"4.	When current passes through the resistances in the Wheatstone bridge what happens?",a) voltage drop occurs,b) null detector burns,c) back emf is induced,d) temperature increases due to power dissipation,d,"Explanation: Current flow through the resistances causes power dissipation i.e. I2R leading to an increase in the temperature. As the bridge consists of pure resistances, there is no back e.m.f induced."
Question 42,"5.	What is the effect of the increase in temperature on the resistance elements?",a) directly proportional,b) independant,c) inversely proportional,d) changes by a factor of 10,a,Explanation: Temperature affects resistance of the circuit. Resistance has a positive temperature coefficient and increases linearly with rise in temperature. 
Question 43,"6.	Heating effect in the Wheatstone bridge can be avoided by _________",a) using an expensive emf source,b) limiting current to a safe value,c) using heating sinks,d) immersing the setup in ice,b,Explanation: Heating effect can be eliminated by limiting the current through the circuit to a safe value and by calculating the power dissipation in the arms. Heat sinks are typically used in power electronic applications. 
Question 44,"7.	The main error when measuring low resistances is _________",a) power dissipation of the arms,b) voltage drop across the emf source,c) lead and contact resistance,d) current flowing through the circuit,c,Explanation: Voltage drop across the circuit along with power dissipation lead to errors in the measurement of low resistances. The resistance of leads and contacts of the external circuit adds to the values in the circuit. This is the main source of error while measuring low resistances. 
Question 45,"8.	How is thermal emf generated?",a) when current flows,b) when voltage is applied,c) when the null detector is connected,d) when dissimilar metals come in contact,d,"Explanation: When dissimilar metals come into contact with each other in a galvanometer circuit, thermal emf is generated. Null detector is used for detecting the balance condition."
Question 46,"9.	Thermal emf can be prevented by _________",a) using more sensitive galvanometers,b) using similar metals,c) by separating the dissimilar metals,d) reducing the supply emf,a,Explanation: Thermal emf can be eliminated by making use of sensitive galvanometers consisting of copper coils and copper suspension systems. Dissimilar metals canÕt be physically separated.
Question 47,"1.	Wheatstone bridge is a __________","a)	a.c. bridge","b)	d.c. bridge","c) 	high voltage bridge","d) 	power dissipation bridge",b,"Explanation: The Wheatstone bridge is a d.c. bridge that is used for the measurement of medium resistance. Schering bridge is used for measurement of high voltages. AC bridges comprise of Anderson bridge, Maxwell Bridge etc. "
Question 48,"2.	Wheatstone bridge is used to measure resistance in the range of ________",a) 1½ to a few megaohms,b) 10k½ to a few megaohms,c) 100M½ to a few gegaohms,d) 100½ to a few teraohms,a,Explanation: Wheatstone bridge is the simplest form of bridge circuit. It is basically used for the measurement of medium resistances in the range of 1½ to a few megaohms.
Question 49,"3.	Wheatstone bridge is used to measure the d.c. resistance of various types of wires for",a) determining their effective resistance,b) computing the power dissipation,c) quality control of wire,d) maintaining a source of constant e.m.f,c,Explanation: Wheatstone bridge is used to measure the d.c. resistance of various types of wires for controlling the quality of the wires. Voltage source maintains a constant e.m.f in the bridge circuit.
Question 50,"4.	Telephone companies make use of the Wheatstone bridge for _________",a) measuring the telephone resistance,b) computing the line strength,c) maintaining dialtone,d) locating the cable faults,d,Explanation: Cable faults in telephones can be located by telephone companies by making use of a Wheatstone bridge. Telephonic resistances are determined using suitable techniques. Dialtone is maintained through optical fibre technology.
Question 51,"5.	The types of faults in a telephone line are ________",a) line to line or line to ground,b) triple line to line or line to ground,c) open circuit and short circuit,d) symmetrical and unsymmetrical,a,"Explanation: In a telephone line, line to line and line to ground faults occur. Symmetrical, unsymmetrical, open circuit, short circuit, triple line to line and line to ground faults occur in power systems. "
Question 52,"6.	How can a Wheatstone bridge be used for the measurement of physical parameters?",a) in conjunction with a rectifier,b) along with an op amp,c) by connecting it to a thermistor,d) by making use of a transducer,b,"Explanation: A Wheatstone bridge can be used for the measurement of physical parameters such as temperature, strain, light, etc by making use of an operational amplifier. Rectifier circuits are used for conversion of ac to dc."
Question 53,"7.	By using the variations on a Wheatstone bridge we can","a) measure quantities such as voltage, current and power",b) measure high resistance values,c) measure quantities such as complex power,"d) measure quantities such as capacitance, inductance and impedance",d,"Explanation: In its simplest form a Whetstone bridge consists of resistive arms. A Wheatstone bridge is used for the measurement of quantities such as capacitance, inductance and impedance by making use of the variations."
Question 54,"8.	One of the simplest applications of a Wheatstone bridge is ________",a) voltage measurement,b) current measurement,c) light measurement,d) power measurement,c,Explanation: Wheatstone bridge consists of simple resistances in the ratio arms. One of the simplest applications of a Wheatstone bridge is the measurement of light by making use of a photoresistive device. 
Question 55,"9.	Thermal compensation can be provided in a Wheatstone bridge by ________",a) using more than one resistive sensor,b) making use of a heat sink,c) using cooling fans,d) immersing the circuit into a liquid,a,"Explanation:  By making use of more than one resistive sensor within the four arms of a Wheatstone bridge we get a full bridge, half bridge or a quarter bridge setup with automatic balancing effect."
Question 56,"1.	Wheatstone bridge canÕt be used for measurement of",a) high resistance,b) medium resistance,c) low resistance,d) accurate resistance,a,Explanation: Wheatstone bridge can be used for the measurement of medium resistances only. Kelvin bridge is used for the measurement of medium resistances.
Question 57,"2.	Cost of maintenance of Wheatstone bridge is _________",a) low,b) high,c) depends on the components,d) depends on the source e.m.f,b,"Explanation: As the resistance must have a tolerance of upto 1%, cost of maintenance of the Wheatstone bridge circuit is expensive. Voltage source does not add to the cost of maintenance of a Wheatstone bridge as it is uniform for all bridge circuits."
Question 58,"3.	What is the effect of galvanometer on measurement of high resistance?",a) no effect,b) depends on the e.m.f source,c) galvanometer becomes insensitive to imbalance,d) depends on the type of galvanometer used,c,"Explanation: If the Wheatstone bridge is used for the measurement of high resistance, the galvanometer becomes insensitive and does not detect any imbalance. "
Question 59,"4.	What is the effect of heat on the resistances in a Wheatstone bridge?",a) no effect,b) increases the voltage drop across the circuit,c) decreases the current flowing through the circuit,d) causes a permanent change in the resistance values,d,"Explanation: As the current flowing through the Wheatstone bridge circuit increases, the temperature of the resistance increases. As a result the resistance values are changed permanently."
Question 60,"5.	Effect of high dc on Wheatstone bridge.",a) no effect,b) not susceptible,c) burns the circuit,d) increases the temperature,b,Explanation: A Wheatstone bridge is not susceptible to the flow of high dc current. A Wheatstone bridge in simplest form is used for the measurement of resistance with values in the medium resistance range.
Question 61,"6.	A Wheatstone bridge may not give accurate readings if _________",a) it is not balanced,b) it is balanced,c) the voltage drop across the circuit is maximum,d) excessive current flows through the circuit,a,Explanation: A Wheatstone bridge circuit may give inaccurate measurement of resistance if it is not balanced properly. Current flow through a Wheatstone bridge circuit is fixed as the e.m.f source magnitude is constant.
Question 62,"7.	What is the effect of lead wires on the Wheatstone bridge?",a) no effect,b) stabilizes the system,c) desensitizes the system,d) increases the resistance of the circuit,c,"Explanation: The lead wires connecting the resistance arms of a Wheatstone bridge add to the existing values of resistances across the ratio arms. As a result the net value of resistance changes, thus destabilizing the system."
Question 63,"8.	Why a Wheatstone bridge canÕt be used for signal conditioning?",a) due to the galvanometer,b) due to excessive current flow,c) due to the e.m.f source used,d) due to lead wires,d,Explanation: Lead wires add to the resistance of the arms of the Wheatstone bridge. As a result the bridge circuit is destabilized and canÕt be be used for signal conditioning.
Question 64,"9.	How to minimize the drift in the value of resistance measured using a Wheatstone bridge?","a)	by using a high precision null detector","b)	by keeping the lead wire resistances within 0.2 m½","c)	by using a e.m.f source of minimum value","d)	by minimizing the flow of current",b,Explanation: The drift in the measured value of resistance in a Wheatstone bridge can be minimized by maintaining the lead wire resistances within 0.2 m½. As a result the effect of lead wire resistance gets removed in the output value of the bridge circuit.
Question 65,1. Low resistance refers to _________,a) resistances of the order of 1_,b) resistances of the order of 1k_,c) resistances of the order of 1m_,d) resistances of the order of 1M_,a,Explanation: Low resistance refers to resistances of the order of 1_ or less than that. Medium resistances range from above 1_ to a few k_. Any resistance value greater than a few k_ is known as a high resistance.
Question 66,2. What is the significance of measuring low resistances?,a) voltage drop across the circuit is high,b)  contact and lead resistances are appreciable,c) there is no power loss,d) no current flows through the bridge circuit,b,"Explanation: When measuring low resistances of the order of 1 _ or even less, lead and contact resistances of the order of even 0.002 _ cannot be neglected. High currents flow through low resistance circuits."
Question 67,4. How is the voltage drop across a low resistance related to lead resistance?,a) it contains contact resistance,b) it depends on the magnitude of voltage drop,c) it depends on the type of null detector used,d) It does not contain any contact resistance,d,Explanation: The voltage drop measured across a low resistance does not contain any contact and lead resistances of the components and is independent of it.
Question 68,5. Which is not a source of error in the measurement of low resistance?,a) contact resistance drops at the leads,b) thermal e.m.f,c) temperature effect,d) power dissipation through the circuit,a,"Explanation: As the current flowing through a low resistance circuit is low, the voltage drop across the terminals due to contact and lead resistances is negligible. Thermal e.m.f occurs in a circuit when its temperature increases due to high current flow."
Question 69,6. Which is the most popular method for measuring low resistance?,a) ammeter-voltmeter method,b) potentiometer method,c) kelvin double bridge method,d) ducter ohmmeter method,c,Explanation: KelvinÕs double bridge is used for the measurement of low resistances of the order of 1_ or less. Ammeter voltmeter method is used for the measurement of current flowing through and the voltage across the circuit.
Question 70,7. How is the contact resistance related to the circuit while measuring a low resistance?,a) independant of the type of the resistance,b) it is negligible,c) depends on the e.m.f source,d) it is very high,b,Explanation: The contact and lead resistances form a part of the circuit whose resistance is very high.  As a result the contact and lead resistances are usually neglected compared to the high resistance value.
Question 71,1. KelvinÕs bridge consists of _________,a) double bridge,b) single bridge,c) half bridge,d) three fourth bridge,a,Explanation: KelvinÕs bridge consists of two additional arms compared to a Wheatstone bridge. Hence it is also known as a double bridge.
Question 72,2. The range of resistance measured in a Kelvin bridge is _________,a) 10½ to 10 m½,b) 1½ to 10 _½,c) 0.01½ to 10 M½,d) 0.1½ to 10 n½,b,Explanation: Kelvin bridge is used for the measurement of low resistances. Low resistances vary in the range of 1½ to 10 _½. 
Question 73,3. Accuracy of Kelvin bridge is of the order of _________,a) ±0.5 to ±2 %,b) ±0.05 to ±0.02 %,c) ±0.05 to ±0.2 %,d) ±0.005 to ±0.02 %,c,"Explanation: As Kelvin bridge is used for the measurement of low resistance values, the accuracy of measurement of low resistances in a Kelvin bridge is of the order of ±0.05 to ±0.2 %."
Question 74,5. What is the effect of load and contact resistance in Kelvin bridge?,a) independent,b) fully dependent,c) partially dependent,d) depends on the resistance value,a,Explanation: Effect of contact and lead resistances are completely eliminated in a Kelvin bridge as they donÕt appear in the balance equation. Hence the Kelvin bridge is independent of the load and contact resistances.
Question 75,6. The relation between ratio of resistance arms and ratio of resistance arms of second bridge is,a) unequal,b) equal,c) twice,d) one forth,b,Explanation: The relation between the ratio of the resistances of resistance arm and second resistance arm is equal for balance condition. 
Question 76,7. Why Kelvin bridge is used for measurement of low resistance?,a) due to e.m.f source used,b) due to a large current flow,c) due to contact and lead resistance,d) due to power dissipation across the circuit,c,Explanation: While measuring very low resistances the contact and lead resistances cause significant errors in the value of the measured resistance. As a result Kelvin bridge is used for measurement of low resistances.
Question 77,8. What is the condition to achieve a high sensitivity in a Kelvin bridge?,a) low voltage,b) high power,c) medium resistance,d) high current,d,Explanation: The condition to achieve a high sensitivity in a Kelvin bridge is that the measuring current should be high enough so as to sensitize the null detector.
Question 78,9. Kelvin bridge can be calibrated to read,a) inductance and Quality factor value,b) capacitance only,c) power and voltage,d) current and frequency,a,Explanation: In its basic form a Kelvin bridge is used for the measurement of low resistance. A Kelvin bridge can be used for the measurement of inductance and Quality factor value through calibration.
Question 79,10. Why canÕt a Kelvin bridge be used for the measurement of low Quality factor value?,a) due to thermoelectric effect,b) due to balance problem,c) due to the dull detector used,d) due to temperature,b,"Explanation: A Kelvin bridge can be used for the measurement of high Quality factor values. Due to bridge imbalance problem, Kelvin bridge canÕt be used for measuring low Quality factor values."
Question 80,"1.	High resistances are of the order of __________",a) 0.1 M_,b) 10 m_,c) 1 k_,d) 10 G_,a,Explanation: Resistances of the order of 0.1 M_ and above are known as high resistances. Resistance values upto 1 _ are known as low resistances. Resistances upto a few k_ are known as medium resistances.
Question 81,"2.	Megger is a ________",a) source of e.m.f,b) source to measure high resistance,c) type of a null detector,d) current carrier,b,Explanation: Megger is a portable instrument to measure high resistances.
Question 82,"3.	Megger is also used for ________",a)  providing additional e.m.f,b) bridge balance,c) testing insulation resistance,d) controlling the temperature,c,Explanation: A null detector is used to balance the bridge. Additional e.m.f can be provided to a circuit by increasing the magnitude of the voltage source. Megger is used for testing the insulation resistance of cables. 
Question 83,"4.	Megger works on the principle of ________",a) kirchhoffÕs current laws,b) ohmÕs law,c) gaussÕs law,d) electromagnetic induction,d,Explanation: OhmÕs law is applicable to only purely resistive circuits which are based on linearity principle. Megger basically works on the principle of electromagnetic induction. 
Question 84,"5.	The role of the permanent magnet in a megger is to ________",a) provide field,b) provide voltage,c) generate power,d) balance the circuit,a,Explanation: Voltage can be provided by means of an e.m.f source. Power generation occurs when current flows through a circuit. Permanent magnet in a megger is used to provide field for the generator as well as the ohmmeter.
Question 85,"6.	A guard ring is provided in a megger to  ________",a) protect the circuit,b) eliminate error,c) reduce current flow,d) limit the temperature rise,b,Explanation: Temperature rise can be prevented by reducing the flow of excessive current through the circuit. The role of a guard ring in a megger is to reduce the errors due to leakage current. 
Question 86,"7.	The supply to the megger is given by ________",a) ac motor,b) ac generator,c) permanent magnet dc motor,d) dc generator,c,Explanation: Megger works on the principle of electromagnetic induction. Supply can be given through a dc motor. A permanent magnet dc motor driven by hand is used as a source of supply to the megger.
Question 87,"8.	The moving element of the ohmmeter in a megger consists of  ________",a) 1 coil,b) 4 coils,c) 3 coils,d) 10 coils,c,"Explanation: The moving element of an ohmmeter in a megger consists of three coils, namely current or deflection coil, pressure or control coil and compensating coil."
Question 88,"9.	The role of the compensating coil in a megger is ________",a) reduce current,b) increase voltage,c) control temperature,d) scaling,d,Explanation: Temperature is controlled by minimising the flow of current through the circuit. Better scaling proportions can be achieved in a megger by making use of a compensating coil.
Question 89,"1.	Why is the scale of a megger calibrated in megaohms?",a) to indicate resistance,b) to minimise the current flow,c) to increase the voltage drop,d) to reduce the temperature,a,"Explanation: Current flow through the circuit depends on the magnitude of the e.m.f source. In order to indicate the resistance value indicated by the pointer, the scale of a megger is calibrated."
Question 90,"2.	Megger can be used for verifying the electrical insulation level of","a) passive components such as resistance, capacitor and inductance","b) devices such as motor, cable, etc",c) solid state devices,d) liquid crystal devices,b,"Explanation: Solid state devices consist of power electronic components and drives. One of the applications of a Megger circuit is in verifying the electrical insulation levels of devices such as motor, cable, generator, etc. "
Question 91,"3.	Continuity between any two points can be measured using",a) ammeter,b) voltmeter,c) megger,d) galvanometer,c,Explanation: A galvanometer is used for detecting the balance condition in a bridge circuit. An ammeter measures the current flow through the circuit while the voltmeter is used for determining the voltage across the bridge circuit. A megger circuit can be used to determine the continuity between any two points.
Question 92,"4.	Electrical continuity between any two points exists if",a) there is current flow through them,b) there is a wire connecting the points,c) there is sufficient voltage drop,d) pointer shows deflection,d,"Explanation: Voltage drop across the circuit is measured by using a voltmeter. When the pointer displays full deflection, then there is an electrical continuity between the two points."
Question 93,"5.	Megger is also known as _________",a) megaohmmeter,b) multimeter,c) galvanometer,d) ammeter,a,"Explanation: A galvanometer is used to detect the balance condition. A multimeter can be used for measurement of voltage, current, resistance and power. A megger is also known as a megaohmmeter as it is used for the measurement of resistances in the order of M_."
Question 94,"6.	The application of a megger is _________",a) to measure resistance,b) to test for leakage,c) to limit the current,d) to increase the emf of the circuit,b,Explanation: Current flow through a circuit depends on the magnitude of the voltage source. Magnitude of the voltage source can be increased. A megger is mainly used for testing electrical leakages in wires.
Question 95,"7.	What is the significance of a megger with respect to high resistance?",a) it is used to limit the current,b) it is used to provide stability,c) used for measuring high resistance with respect to ground,d) it is used for temperature protection,c,Explanation: Temperature protection can be provided to a bridge circuit by making use of heat sinks. Megger is used for determining very high resistances between the conducting part of a circuit and ground.
Question 96,"8.	How is the megger calibrated?",a) in steps of 1 unit per division,b) based on the value of resistance to be measured,c) directly calibrated on the position of the pointer,d) reversely calibrated based on the pointer position,d,Explanation: The scale in a megger is calibrated such that normal position of a pointer indicates infinity while full scale corresponds to zero resistance.  
Question 97,"1.	What is earthing?",a) connecting electrical machines to earth,b) providing a connection to the ground,c) connecting the electrical machines to source,d) providing a source of current,a,Explanation:  Connecting electrical machines to the general mass of the earth by making use of a conducting material with very low resistance is known as earthing.
Question 98,"2.	What is an earth electrode?",a) electrode that is connected to earth,b) material used for earthing,c) electrode connected to the circuit,d) electrode which is connected to the mains,b,Explanation: Electrode connected to the main is basically a source of e.m.f. Conducting material that is used for connecting electrical machinery to the earth is known as an earth electrode.
Question 99,"3.	Earth electrode provides ____________",a) high resistance,b) medium resistance,c) low resistance,d) very high resistance,c,"Explanation: In the case of occurrence of any leakage currents due to poor shielding of the apparatus, the earth electrode is used to provide a very low resistance path from the electrical appliances to the earth."
Question 100,"4.	How is the condition of an earth electrode measured?",a) by measuring the voltage,b) by measuring the current,c) by measuring the power,d) by measuring resistance,d,Explanation: The resistance of the earth electrode is measured in order to check whether it is in a good condition or not. 
Question 101,"5.	In a three phase system, the neutral is _________",a) earthed,b) connected to low voltage,c) connected to high voltage,d) not connected,a,Explanation:  Earthing can be used to maintain a constant line voltage in a three phase system. This is achieved by earthing the neutral.
Question 102,"8.	After earthing, the different parts of an electrical machinery are at _________",a) infinite potential,b) intermediate potential,c) zero potential,d) undefined potential,c,"Explanation: After earthing, the various parts of electrical machinery such as casing, armouring of cables, etc are at zero potential."
Question 103,"9.	Connection of the various parts of a circuit to earth has a",a) medium resistance,b) high resistance,c) very high resistance,d) very low resistance,d,"Explanation: Once an electrical apparatus is grounded, most of its components are at ground potential. When the different parts of an electrical machinery are connected to ground, they possess very low resistance."
Question 104,"10.	Specific resistance of soil is  _________",a) changes from soil to soil,b) is constant,c) depends on the circuit connected to it,d) depends on the supply voltage,a,"Explanation: Specific resistance depends on the nature and properties of a material. Specific resistance is different for various types of soils such as dry soil, rocky soil, wet soil, etc.  "
Question 105,"1.	In the simplest form, an AC bridge consists of ____________","a) arms, source and a detector",b) arms and source,c) source and detector,d) arms and detector,a,"Explanation: In its simplest form, an AC bridge consists of four arms, a source for excitation and a null detector. The source is connected across a pair of arms while the detector is connected to the pair of opposite arms."
