Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 24,7. Which of the following could be used as the layer of dielectric in interference filters used in Absorption Spectroscopy?,a) Graphite,b) MgF2,c) Fe,d) AgNO3,b,Explanation: MgF2 is used as layer of dielectric in interference filters. Other material that can be used is ZnS.
Question 25,8. How can stability of radiation be achieved in incandescent or discharge source used in Absorption Spectroscopy?,a) Using filters,b) Using monochromators,c) Using slits,d) By controlling the source voltage,d,"Explanation: The intensity of radiation in incandescent source is proportional to the lamp source voltage. Therefore, by controlling the source voltage stability can be achieved."
Question 26,"9. To tolerate high operating temperatures, which of the following has to be done in incandescent or tungsten filament lamps?",a) Alloys must be used,b) Nitrogen be used instead of inert gas,c) Envelope is fabricated with quartz,d) Envelope is fabricated with copper,c,Explanation: The envelope is fabricated with quartz to allow high operating temperatures. Tungsten filament and inert gas are generally used and are not modified.
Question 27,"10. Which of the following is not a reason for laser not being generally used as a source of radiation for UV, Visible Spectroscopy?",a) High cost,b) Limited range of wavelength,c) Less intensity,d) Complex to work with,c,Explanation: Laser has high intensity. It is used in special applications where cost is not a matter and limited range of wavelength is required.
Question 28,1. Which of the following statements is false about single beam absorption instruments?,a) Tungsten bulb is used as source,b) Beam splitter is used to get parallel beam,c) Test tube is used as sample holder,d) Photovoltaic cell as detector,b,"Explanation: Single beam instruments make use of one beam. Therefore, beam splitters are not required in single beam instruments."
Question 29,2. Which of the following statement is false about double beam absorption instruments?,a) It is similar to single beam instruments except two beams are present,b) Tungsten bulb is used as source,c) Reference beam must have higher intensity than sample beam,d) Both the beams after they pass through respective samples are compared,c,Explanation: Reference beam cannot have higher intensity than sample beam. The beam is split into two beams of equal intensity.
Question 30,3. Which of the following is not an application of colorimeter?,a) Paints,b) Inks,c) Cosmetics,d) Composition detection,d,"Explanation: Colorimeter is not used to determine composition. Its application is paints, dyes, inks, cosmetics and plastics."
Question 31,"4. In photometers, the readings of the specimen are initially obtained in the form of which of the following parameters?",a) Transmittance,b) Absorption,c) Wavelengths,d) Volume,a,"Explanation: In photometers, the reading is initially obtained in the form of transmittance as some radiation is absorbed by the sample and the rest of the beam is transmitted. This transmitted beam is measured by the detector."
Question 32,8. Which of the following is the purpose of balance indicator in double beam photometer or colorimeter?,a) Selects particular wavelength,b) Splits the wavelength selected into two equal beams,c) Detects and indicates the amount of light falling on it,d) Indicates the difference between the output of two photometers,d,Explanation: It compares the output of the two photometers obtained using two beams. It indicates the output.
Question 33,9. Which of the following is the purpose of beam splitter in double beam photometer or colorimeter?,a) Splits beam into two equal intensity beams,b) Splits beam in such a way that sample beam has higher intensity,c) Splits beam in such a way that reference beam has higher intensity,d) Merge two equal intensity beams into single beam,a,Explanation: Beam splitter splits beam into two equal intensity beams. One beam passes through the sample and other through the reference.
Question 34,10. Which of the following is a source used in spectroscopy?,a) LASER,b) Tube light,c) Sodium vapour lamp,d) Tungsten lamp,d,"Explanation: Tungsten lamp is the source used in spectroscopy. It is the source used in UV, Visible spectroscopy."
Question 35,1. Which of the following is not a source used in Mid Infrared Spectrophotometer?,a) Nernst glower,b) High pressure mercury arc lamp,c) Globar,d) Nichrome wire,b,Reason: High pressure mercury arc lamp is used as the source for Far IR Spectrophotometer. Rest of the options are used as source in Mid Infrared Spectrophotometer.
Question 36,2. Which of the following is the wave number of near infrared spectrometer?,a) 4000 Ð 200 cm-1,b) 200 Ð 10 cm-1,c) 12500 Ð 4000 cm-1,d) 50 Ð 1000 cm-1,c,Explanation: The wave number of near infrared spectrometer ranges between 12500 Ð 4000. Wavenumber is the reciprocal of wavelength.
Question 37,3. Which of the following options are correct in terms of wavelength for the different types of IR spectrometer?,a) Near IR: 0.8 Ð 2.5 mm,b) Mid IR: 0.8 Ð 2.5 mm,c) Far IR: 2.5 Ð 50 mm,d) Mid IR: 50 Ð 100 mm,a,Explanation: Wavelength of near IR is 0.8 Ð 2.5 mm and for mid IR it is 2.5 Ð 50 mm. The wavelength of far IR is 50 Ð 1000 mm.
Question 38,4. Which of the following is not a composition of Nernst glower or Nernst filament?,a) Oxides of Zirconium,b) Oxides of Barium,c) Oxides of Yitrium,d) Oxides of Thorium,b,"Explanation: Oxides of Barium is not present in Nernst glower. They are constructed by fusing oxides of Zirconium, yitrium and thorium."
Question 39,5. What is the composition of Globar rod which is used as a source in Mid IR spectroscopy?,a) Silicon carbide,b) Silver chloride,c) Silicon dioxide,d) Silver carbide,a,Explanation: Globar is a silicon carbide rod. It is 5mm in diameter and 50mm long.
Question 40,"6. Bolometer, a type of detector, is also known as:",a) Resistance temperature detector (RTD),b) Thermistor,c) Thermocouple,d) Golay cell,b,Explanation: Bolometers are also known as thermistors. It is a type of resistance thermometer constructed of metals such as platinum or nickel.
Question 41,7. Which of the following is not a technique for preparing solid samples in IR spectroscopy?,a) Solids run in solution,b) Mull technique,c) Solid films,d) Thin films,d,"Explanation: Four techniques are generally used to prepare solid samples. They are: Solids run in solution, Mull technique, Solid films and pressed pellet techniques."
Question 42,8. Which of the following is not used as pyroelectric material used in pyroelectric transducers in Infrared spectroscopy?,a) Triglycine Sulphate,b) Deutrated Triglycine Sulphate,c) Some Polymers,d) Tetraglycine sulphate,d,"Explanation: Pyroelectric materials are deutrated triglycine sulphate, triglycine sulphate and some polymers. They give rise to a potential when subjected to a heating or cooling effect."
Question 43,9. Which of the following is the principle of Golay cell which is used as a detector in IR spectroscopy?,a) Expansion of gas upon heating,b) Increase in resistance due to increase in temperature and vice versa,c) Temperature difference gives rise to a potential difference in the material,d) Decrease in resistance due to increase in temperature,a,Explanation: It is also known as pneumatic detector. The gases expand on heating and this in turn leads to the movement of a diaphragm just like in pneumatic sensors.
Question 44,"10. In a solid sample treatment technique, the finely ground solid sample is mixed with mineral oil to make a thick paste which is then spread between IR transmitting windows. What is the name of this solid sample treatment technique?",a) Pressed pellet,b) Mull technique,c) Solid films,d) Solids run in solution,b,Explanation: The mentioned technique is Mull technique. This method is used for qualitative analysis  but not quantitative analysis.
Question 45,1. Which of the following is not true about Fourier Transform Infrared (FTIR) spectrometer?,a) It is of non-dispersive type,b) It is useful where repetitive analysis is required,c) Size has been reduced over the years,d) Size has increased over the years,d,"Explanation: FTIR is of non-dispersive type of instruments and is used for repetitive analysis. Initially, it was bulky and cost was high and hence, it was limited to special application. Now, the size has been reduced."
Question 46,"2. In the most widely used beam splitter, a thin film of ________ is sandwiched between two plates of low refractive index solid. Fill the blank with the suitable option.",a) Mylar,b) Silicon carbide,c) Ferrous oxide,d) Silver chloride,a,"Explanation: Generally, mylar is the thin film used in beam splitters. Beam splitter has to pass 50% of the radiation and reflect 50% of the radiation."
Question 47,3. Which of the following is not the function of drive mechanism in Fourier Transform Infrared Spectrophotometer?,a) Movement of mirror to obtain a satisfactory interferogram,b) Acquire a good interferogram pattern,c) Allow 50% of the beam to pass,d) Keep the speed of the moving mirror constant,c,Explanation: Drive mechanism does the functions specified in the other options. It the function of the beam splitter to allow 50% of the beam to pass through.
Question 48,4. Only pyroelectric transducer or pyroelectric crystals are used as detectors in Fourier Transform Infrared Spectrophotometer (FTIR). What is the main reason for other types of thermal detectors are not being used in FTIR spectrophotometer?,a) Less accuracy,b) Slower response,c) Less precision,d) Less sensitivity,b,"Explanation: Other thermal detectors are not employed due to slower response of the detectors. Pyroelectric transducers or pyroelectric crystals are chosen for their high speed, accuracy, precision, sensitivity and resolution."
Question 49,5. Which of the following is not the advantage of Fourier Transform Spectrometers?,a) Signal to noise ratio is high,b) Information could be obtained on all frequencies,c) Retrieval of data is possible,d) Easy to maintain,d,Explanation: The instrument is not easy to maintain and it is a disadvantage. The other disadvantage is that the cost is high.
Question 50,6. Which of the following has to be computed to determine transmittance and absorbance at various frequencies?,a) Ratio of signal and noise,b) Ratio of sample and reference spectra,c) Sample spectra,d) Reference spectra,b,"Explanation: The ratio of sample and reference spectra needs to be computed to determine transmittance and absorbance. First, reference interferogram is obtained and then sample is obtained."
Question 51,8. Which of the following is the reference that is generally used in FTIR interferometer?,a) Air,b) NaCl solution,c) Alcohol,d) Base solution,a,Explanation: Air is generally used as the reference. It is scanned for about 20 to 30 times and the results are stored in a computer.
Question 52,"11. In MichelsonÕs interferometer, the frequency of the detector output can be determined by translating the _________ of movable mirror and the ___________ of monochromatic radiation.","a) Velocity, wavelength","b) Thickness, intensity","c) Length, velocity","d) Angle, intensity",a,Explanation: The frequency can be determined by translating the velocity of the movable mirror and the wavelength of monochromatic radiation. The reflected beam passes towards the movable mirror.
Question 53,"12. In MichelsonÕs interferometer, the __________ of the detector output will depend upon the intensity of incoming radiation.",a) Velocity,b) Frequency,c) Amplitude,d) Phase,c,"Explanation: In MichelsonÕs interferometer, the amplitude of the detector output will depend upon the intensity of incoming radiation. If movable mirror is moved uniformly, the output will be a sine wave."
Question 54,13.  Why is the computer necessary in Fourier Transform Spectrometer?,a) To display the detector output,b) To process the detector output,c) To determine the amplitude,d) To determine the frequency,b,Explanation: The computer is necessary to process the output of the detector. The Fourier Transform of output is determined using software using computers.
Question 55,1. Which of the following is the principle of Atomic Absorption Spectroscopy?,a) Radiation is absorbed by non-excited atoms in vapour state and are excited to higher states,b) Medium absorbs radiation and transmitted radiation is measured,c) Colour is measured,d) Colour is simply observed,a,"Explanation: Atoms in gaseous state absorb the radiation and are excited to higher state. Since, the higher state is unstable the atom returns the ground state with the emission of radiation which is measured."
Question 56,"2. In Atomic Absorption Spectroscopy, which of the following is the generally used radiation source?",a) Tungsten lamp,b) Xenon mercury arc lamp,c) Hydrogen or deuterium discharge lamp,d) Hollow cathode lamp,d,Explanation: Hollow cathode lamp is the source used in Atomic Absorption Spectroscopy. It emits stable and intense radiation.
Question 57,"3. In Atomic Absorption Spectroscopy, with what material is the cathode in Hollow cathode lamp constructed?",a) Tungsten,b) Quartz,c) Element to be investigated,d) Aluminium,c,Explanation: The cathode in Hollow cathode lamp is constructed of the element to be investigated. The anode is made of tungsten.
Question 58,4. How can the intensity of radiation be increased in Hollow cathode lamp?,a) Addition of non-conductive protective shield of mica,b) Addition of nitrogen to neon or argon in the lamp,c) Increasing the pressure of the filling gas,d) Changing the metal of the anode,a,Explanation: The intensity of radiation is increased in Hollow cathode lamp by the addition of non-conductive protective shield of mica. The protective shield can be made of glass too.
Question 59,5. Which of the following is the function of the chopper in Atomic Absorption Spectroscopy?,a) To split the beam into two,b) To break the steady light into pulsating light,c) To filter unwanted components,d) To reduce the sample into atomic state,b,Explanation: The function of the chopper in Atomic Absorption Spectroscopy is to break the steady light into pulsating light. It is a rotating wheel placed between the flame and the source.
Question 60,6. Which of the following is the function of Flame or Emission system in Atomic Absorption Spectroscopy?,a) To split the beam into two,b) To break the steady light into pulsating light,c) To filter unwanted components,d) To reduce the sample into atomic state,d,"Explanation: The function of Flame or Emission system in Atomic Absorption Spectroscopy is to reduce the sample into atomic state. In Atomic Absorption Spectroscopy, the production of atomic vapour by flame is the most important phase."
Question 61,8. Which of the following is not a component of emission system in Flame photometer?,a) Burner,b) Atomiser,c) Fuel gases and their regulation,d) Chopper,d,"Explanation: Chopper is not a component of emission system in Flame photometer. The parts of flame photometer are burner, atomiser, fuel gases and their regulation and flame."
Question 62,9. Which of the following is the function of atomiser in the emission system of Atomic Absorption Spectroscopy?,a) To split the beam into two,b) To break the steady light into pulsating light,c) To break large mass of liquid into small drops,d) To reduce the sample into atomic state,c,Explanation: The function of atomiser in the emission system of Atomic Absorption Spectroscopy is to break large mass of liquid into small drops. It also introduces liquid sample into the flame at a stable rate.
Question 63,10. Which of the following is not a fuel used in flame photometry?,a) Acetylene,b) Propane,c) Hydrogen,d) Camphor oil,d,"Explanation: The commonly used fuel gases in flame photometry are acetylene, propane and hydrogen. Oxygen supply is given to the fuel gases."
Question 64,11. Which of the following is not the requirement of a good flame in flame photometer?,a) Liquid sample must be evaporated to form solid residue,b) Solid residue must decompose to form atoms,c) Atoms must be produced such that they have the ability to get excited to higher states,d) Atoms must be produced such that they are in stable state,d,Explanation: Atoms must be produced such that they have the ability to get excited to higher states. These atoms in higher states return to ground state with the emission of photons.
Question 65,13. Which of the following options explains the process of ÔsputteringÕ that occurs in Hollow Cathode Lamp?,a) Positive ions collide with cathode surface and metal atoms from cathode are ejected,b) Negative ions collide with cathode surface and metal atoms from anode are ejected,c) Positive ions collide with negative ions and metal atoms from anode are ejected,d) Positive ions collide with negative ions and photons are ejected,a,"Explanation: When potential is applied across the electrode, the gas filled in tube ionises and flow of current occurs. Positive ions collide with negatively charged cathode surface and metal atoms from cathode are ejected."
Question 66,14. At what pressure should the gases in the sealed tube be maintained in the Hollow cathode lamp?,a) 1 to 5 torr,b) 20 to 30 torr,c) 40 to 50 torr,d) 50 to 55 torr,a,Explanation: It consists of a cylindrical cathode and an anode made of tungsten. The tube is sealed and neon and argon are filled at a pressure of 1 to 5 torr.
Question 67,3. Which of the following is the principle of Flame emission photometers?,a) Radiation is absorbed by non-excited atoms in vapour state and are excited to higher states,b) Medium absorbs radiation and transmitted radiation is measured,c) Colour and wavelength of the flame is measured,d) Only wavelength of the flame is measured,c,"Explanation: In Flame emission photometers, colour and intensity of the flame is measured. The intensity of light emitted when sample is introduced into the flame is also measured."
Question 68,"4. In Flame emission photometers, the measurement of _____________ is used for qualitative analysis.",a) Colour,b) Intensity,c) Velocity,d) Frequency,a,Explanation: The colour and the wavelength of the flame are used for qualitative analysis. It is used to determine the element which is present in the sample.
Question 69,"5. In Flame emission photometers, the measurement of _____________ is used for quantitative analysis.",a) Colour,b) Intensity,c) Velocity,d) Frequency,b,Explanation: The intensity of the flame is used for quantitative analysis. It is used to determine the amount of element present in the sample.
Question 70,6. Which of the following is not an advantage of Laminar flow burner used in Flame photometry?,a) Noiseless,b) Stable flame for analysis,c) Efficient atomization of sample,d) Sample containing two or more solvents can be burned efficiently,d,Explanation: Sample containing two or more solvents cannot be burned efficiently in Laminar flow burner. One more advantage of laminar flow burner is that it allows steady movement of gas flow.
Question 71,7. Laminar flow burner used in Flame photometers is also known as ____________,a) Turbulent burner,b) Premix burner,c) Total consumption burner,d) Nozzle mix burner,b,"Explanation: Laminar flow burner used in Flame photometers is also known as Premix burner. Sample, fuel and oxidant are mixed thoroughly before reaching the burner."
Question 72,8. Which of the following is the advantage of prism monochromators?,a) Dispersion is non-overlapping,b) Dispersion occurs in non-linear manner,c) Dispersion is overlapping,d) Dispersion occurs in a linear manner,a,"Explanation: The advantage of prism is that, dispersion that occurs is non-overlapping. The disadvantage is that it occurs in a non-linear manner."
Question 73,9. Which of the following is the advantage of grating monochromators?,a) Dispersion is non-overlapping,b) Dispersion occurs in non-linear manner,c) Dispersion is overlapping,d) Dispersion occurs in a linear manner,d,"Explanation: The advantage of grating is that, dispersion that occurs is linear. The disadvantage is that the dispersion is overlapping."
Question 74,10. Which of the following is not a detector used in Flame emission photometers?,a) Photronic cell,b) Photovoltaic cell,c) Photoemissive tube,d) Chromatogram,d,Explanation: Detectors used in Flame emission photometers are Photovoltaic cell and photo emissive tubes. Photovoltaic cell is also known as photronic cell.
Question 75,12. Which of the following is not an application of Flame emission photometers?,a) Analysis of biological fluids,"b) Determination of sodium, potassium in soil","c) Determination of metals such as Mn, Cu",d) Analysis of complex mixtures,d,"Explanation: The applications of Flame emission photometers are analysis of biological fluids, determination of sodium and potassium in soil and determination of metals such as Mn and Cu. It is also used for the analysis of plant materials and industrial cements."
Question 76,15. Which of the following is not an advantage of photovoltaic cell which is used as a detector in Flame emission photometers?,a) Portable,b) No external supply,c) Robust in construction,d) Does not show fatigue,d,Explanation: It does show fatigue. It shows decrease in response with continued illumination.
Question 77,1. Chromatography is a physical method that is used to separate and analyse __________,a) Simple mixtures,b) Complex mixtures,c) Viscous mixtures,d) Metals,b,Explanation: Chromatography is a physical method that is used to separate complex mixtures. The mixture of different components is flushed through the system at different rates.
Question 78,"2. In which type of chromatography, the stationary phase held in a narrow tube and the mobile phase is forced through it under pressure?",a) Column chromatography,b) Planar chromatography,c) Liquid chromatography,d) Gas chromatography,a,"Explanation: In Column chromatography, the stationary phase held in a narrow tube and the mobile phase is forced through it under pressure. It is carried out in a long glass column having a stop-cock near the bottom."
Question 79,"3. In chromatography, the stationary phase can be ___________ supported on a solid.",a) Solid or liquid,b) Liquid or gas,c) Solid only,d) Liquid only,a,"Explanation: In chromatography, there are two phases namely, stationary phase and mobile phase. The stationary phase can be solid or liquid supported on a solid."
Question 80,"4. In chromatography, which of the following can the mobile phase be made of?",a) Solid or liquid,b) Liquid or gas,c) Gas only,d) Liquid only,b,"Explanation: In chromatography, the mobile phase can be composed of liquid or gas. It cannot be a solid material."
Question 81,5. Which of the following cannot be used as adsorbent in Column adsorption chromatography?,a) Magnesium oxide,b) Silica gel,c) Activated alumina,d) Potassium permanganate,d,Explanation: The given options are all examples of adsorbents in Column adsorption except potassium permanganate. Some other adsorbents are starch and chromatographic purified siliceous earth.
Question 82,6. Which of the following types of chromatography involves the separation of substances in a mixture over a 0.2mm thick layer of an adsorbent?,a) Gas liquid,b) Column,c) Thin layer,d) Paper,c,Explanation: Thin layer chromatography involves the separation of substances of a mixture over a 0.2mm thick layer (thin layer) of an adsorbent. The adsorbent can be silica gel or alumina.
Question 83,"8. In Column chromatography, the stationary phase is made of _________ and the mobile phase is made of _________","a) Solid, liquid","b) Liquid, liquid","c) Liquid, gas","d) Solid, gas",a,"Explanation: In Column chromatography, the stationary phase is made of solid and the mobile phase is made of liquid. It is carried out in a long glass column which has a stop-cock near the bottom."
Question 84,"10. In Thin layer chromatography, the stationary phase is made of _________ and the mobile phase is made of _________","a) Solid, liquid","b) Liquid, liquid","c) Liquid, gas","d) Solid, gas",a,"Explanation: In Thin layer chromatography, the stationary phase is made of solid and the mobile phase is made of liquid."
Question 85,"11. In which of the following type of paper, chromatography does the mobile phase move horizontally over a circular sheet of paper?",a) Ascending paper chromatography,b) Descending paper chromatography,c) Radial paper chromatography,d) Ascending Ð descending chromatography,c,"Explanation: In Radial paper chromatography, the mobile phase moves horizontally over a circular sheet of paper. Separation takes place based on partition."
Question 86,12. Liquid chromatography can be performed in which of the following ways?,a) Only in columns,b) Only on plane surfaces,c) Either in columns or on plane surfaces,d) Neither in columns nor on plane surfaces,c,Explanation: Liquid chromatography can be performed either in columns or on plane surfaces. It could be liquid-solid chromatography or liquid-liquid chromatography.
Question 87,13. Gas chromatography can be performed in which of the following ways?,a) Only in columns,b) Only on plane surfaces,c) Either in columns or on plane surfaces,d) Neither in columns nor on plane surfaces,a,Explanation: Gas chromatography can be performed only in columns. It could be gas-solid chromatography or gas-liquid chromatography.
Question 88,"14. In Gas-liquid phase chromatography, the stationary phase is composed of _________ and the mobile phase is made of _________","a) Solid, liquid","b) Liquid, liquid","c) Liquid, gas","d) Solid, gas",c,"Explanation: In Gas-liquid phase chromatography, the stationary phase is made of liquid and the mobile phase is made of gas. Separation is based on partition."
Question 89,"15. Which of the following types of chromatography involves the process, where mobile phase moves through the stationary phase by the influence of gravity or capillary action?",a)  Column Chromatography,b)  High Pressure Liquid Chromatography,c)  Gas Chromatography,d)  Planar Chromatography,d,"Explanation: In Planar Chromatography, stationary phase is supported on flat plate of paper. The mobile phase moves by the influence of gravity or capillary action."
Question 90,1. Which of the following steps takes place after injection of feed in Column chromatography?,a) Detection of components,b) Separation in the column,c) Elution from the column,d) Collection of eluted component,b,"Explanation: The operation that occurs after the injection of feed is separation in the column. After that, elution from the column and detection of components takes place."
Question 91,3. What happens during the Ôelution from the columnÕ phase in chromatography?,a) Components with greatest affinity elute first,b) Components with least affinity elute first,c) Components elute in a random manner,d) Components elute according to their concentration in the mixture,b,"Explanation: During the elution phase, different components elute at different times. Components with least affinity elute first."
Question 92,"4. In chromatogram, the position of peaks on the time axis can be used to determine which of the following?",a) Components of the sample,b) Amount of component in the sample,c) Column efficiency,d) Column resolution,a,Explanation: Chromatogram is a detector that responds to concentration solute and is placed at the end of the column. The position of peaks on the time axis can be used to determine components of the sample.
Question 93,"5. In chromatogram, the area under the peak can be used to determine which of the following?",a) Components of the sample,b) Amount of component in the sample,c) Column efficiency,d) Column resolution,b,Explanation: Chromatogram is a detector that responds to concentration solute and is placed at the end of the column. The area under the peak can be used to determine amount of component in the sample.
Question 94,"8. Using Chromatogram as detector in Chromatography, a graph is obtained between ____________ and time.",a) Quantity,b) Density,c) Concentration,d) Specific gravity,c,"Explanation: Using Chromatogram as detector in Chromatography, a graph is obtained between concentration and time. The detector is placed at the bottom of the column."
Question 95,"9. In older analytical methods, which of the following methods were used to allow movement of mobile phase?",a) Pumps,b) Pressure,c) Gravity,d) Blowing air into the column,c,"Explanation: In older analytical methods, gravity facilitated the movement of mobile phase. The effect of capillary action was also employed to allow movement."
Question 96,1. How is molar concentration of solute in stationary phase related to molar concentration of solute in mobile phase?,a) Directly proportional,b) Inversely proportional,c) Equal,d) Not related,a,"Explanation: In chromatography, molar concentration of solute in stationary phase is directly proportional to molar concentration of solute in mobile phase.Cs _ CmCs = k CmÔkÕ is the distribution constant."
