Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 33,10. Work done in a quasi-static process,a) depends on the path followed,b) independent of the path followed,c) depends only on the initial and final states,d) none of the mentioned,a,Explanation: This is because work done is a path function.
Question 34,1. Macroscopic properties p and V are significant only for,a) equilibrium states,b) non-equilibrium states,c) depends on the state,d) none of the mentioned,a,Explanation: This is true for at any intermediate point in the travel of piston.
Question 35,"2. In a cylinder, infinitesimal amount of work done by the gas on piston is given by",a) F*dl,b) p*a*dl,c) p*dV,d) all of the mentioned,d,Explanation: F=p*a and work equals force multiplied by displacement.
Question 36,"3. For a constant pressure process, work done is",a) zero,b) p*(V2-V1),c) p1*V1*ln(V2/V1),d) none of the mentioned,b,Explanation: Work done in a process is given by the area under p-dV graph.
Question 37,"4. For a constant volume process, work done is",a) zero,b) p*(V2-V1),c) p1*V1*ln(V2/V1),d) none of the mentioned,a,Explanation: Work done in a process is zero since volume remains constant.
Question 38,"5. For a process in which pV=C, work done is",a) zero,b) p*(V2-V1),c) p1*V1*ln(V2/V1),d) none of the mentioned,c,Explanation: Work done is given by integral of (p*dV) from V1 to V2.
Question 39,6. The area of the indicator diagram represents the magnitude of the,a) net heat transfer by the system,b) net work done on the system,c) net work done by the system,d) none of the mentioned,c,Explanation: It is the work done in one engine cycle.
Question 40,"7. For Pm=(Ad/Ld)*K, which of the following is true?",a) Pm=mean effective pressure,b) Ad and Ld are area of diagram and length of diagram respectively,c) K id the indicator spring constant,d) all of the mentioned,d,Explanation: This formula comes from the indicator diagram.
Question 41,"8. For a two-stroke engine, work done in one minute is given by",a) PmALN,b) PmALN/2,c) 2PmALN,d) none of the mentioned,a,"Explanation: In a two-stroke cycle, the engine cycle is completed in two strokes of the piston."
Question 42,9. The power available at crankshaft is always _____ indicated power.,a) more,b) less,c) equal,d) none of the mentioned,b,Explanation: Due to friction.
Question 43,10. Mechanical efficiency of engine is given by,a) IP/BP,b) 1/(BP*IP),c) (BP*IP),d) BP/IP,d,Explanation: Brake power is less than indicated power and mechanical efficiency is given by BP/IP.
Question 44,"1. The current flow, I, in amperes, is given by I=(dC)/(d_)",a) dC is the charge crossing a boundary,b) time taken is d_,c) c is the charge in coulombs and t is time in seconds,d) all of the mentioned,d,Explanation: This current flow is responsible for the work transfer.
Question 45,2. Shaft uses which kind of motion to do work?,a) vertical motion,b) horizontal motion,c) rotational motion,d) none of the mentioned,c,"Explanation: When a shaft is rotated by a motor, there is work transfer into the system."
Question 46,3. Shaft work is given by,a) T*_,b) T*d_,c) T*_,d) none of the mentioned,a,Explanation: Shaft power is the rate if doing shaft work.
Question 47,5. Flow work is analogous to,a) shaft work,b) electrical work,c) stirring work,d) displacement work,d,Explanation: Flow work is the displacement work done at the moving system boundary.
Question 48,6. The infinitesimal amount of work done on changing the length of a wire with tension T from L to L+dL is,a) -FdL,b) FdL,c) -2FdL,d) 2FdL,a,Explanation: It is the work done in stretching a wire.
Question 49,7. Work done in stretching a wire is given by,a) -∫FdL,b) -∫E_ALd_,c) -AEL∫_d_,d) all of the mentioned,d,Explanation: Above formulae arrive when we limit the problem within the elastic limit.
Question 50,8. The surface tension acts to make the surface area of the liquid,a) maximum,b) minimum,c) zero,d) none of the mentioned,b,Explanation: Characteristic of surface tension.
Question 51,9. The work done per unit volume on a magnetic material is dW=-Hdl where H is,a) field strength,b) magnetization field,c) induced current,d) none of the mentioned,a,Explanation: H is the field strength of the magnetic field.
Question 52,11. A 1200 hp engine has a drive shaft rotating at 2000 RPM. Find the torque on the shaft?,a) 2214 Nm,b) 3214 Nm,c) 4214 Nm,d) 5214 Nm,c,"Explanation: Power, rate of work  = T _ and 1 hp = 0.7355 kW = 735.5 W			 _ = RPM _ (2π)/(60 s) =  209.44 rad/s			 T = power/_ = (1200 hp _ 735.5 W/hp)/ 209.44 rad/s			   =  4214 Ws = 4214 Nm. "
Question 53,12. A 1200 hp engine drives a car with a speed of 100 km/h. Find the force between the tires and the road?,a) 11.8 kN,b) 21.8 kN,c) 31.8 kN,d) 41.8 kN,c,"Explanation: Power = F V and 1 hp = 0.7355 kW = 735.5 W			 velocity in m/s: V = 100 _ 1000 / 3600 = 27.78 m/s			 F = (1200 _ 735.5)/(27.78) = 31 771 N			   =  31.8 kN. "
Question 54,13. A work of 2.5 kJ is delivered on a rod from a piston/cylinder where the air pressure is 500 kPa. What should be the diameter of cylinder to restrict the rod motion to maximum 0.5 m?,a) 0.013 m,b) 0.113 m,c) 0.213 m,d) 0.313 m,b,"Explanation: W = _P dV = _PA dx = PA ∆x = P(π/4)(D^2)∆x			 Putting the values in above equation we get			 D = 0.113 m. "
Question 55,14. A force of 1.2 kN moves a car with 60 km/h up a hill. Find the power?,a) 20 kW,b) 30 kW,c) 40 kW,d) 50 kW,a,"Explanation: Power = F V = 1.2 kN _ 60 (km/h)			 = ( 1.2 _ 10^3 _ 60 )*(1000/3600)			 = 20 000 W = 20 kW. "
Question 56,15. When a battery(12 V) is charged with 6 amp for 3 hours how much energy is delivered?,a) 477.6 kJ,b) 577.6 kJ,c) 677.6 kJ,d) 777.6 kJ,d,"Explanation: W = _(power)dt = V i ∆t			   = 12 V _ 6 Amp _ 3 _ 3600 s			   = 777 600 J = 777.6 kJ. "
Question 57,"1. Find the rate of conduction heat transfer through a 1.5 cm thick board(k = 0.16 W/m K), with a temperature difference of 20°C between the two sides.",a) 113 W/m2,b) 413 W/m2,c) 313 W/m2,d) 213 W/m2,c,"Explanation: The rate of conduction heat transfer = k(∆T/∆x)			 = (0.16 *20)/0.015 = 213 W/m2. "
Question 58,2. A window having area of 2m^2 has a surface temperature of 15°C and the air is blowing at 2°C across it with convection heat transfer coefficient of h = 125 W/m2K. Find the total heat transfer loss?,a) 3250 W,b) 2250 W,c) 4250 W,d) 5250 W,a,"Explanation: Total heat transfer loss =  h A ∆T			  = 125*2*(15-2) = 3250 W. "
Question 59,3. A radiant heating lamp has a temperature of 1000 K with _ = 0.8. What should be the surface area to provide 250 W of radiation heat transfer?,a) 0.0035 m2,b) 0.0055 m2,c) 0.0075 m2,d) 0.0095 m2,b,"Explanation: Radiation heat transfer = __A(T4)			 A = 250/[0.8 _ 5.67 _ 10-8_ 10004]			   = 0.0055 m2. "
Question 60,4. A piston of mass 2 kg is lowered by 0.5 m. Find the work involved in the process.,a) 7.805 J,b) 8.805 J,c) 9.805 J,d) 10.805 J,c,"Explanation: F = ma = 2 kg _ 9.80665 m/s2 = 19.61 N			 W = ∫ F dx = F ∫ dx = F ∆x = 19.61 N _ 0.5 m = 9.805 J. "
Question 61,5. An escalator raises a 100 kg bucket of water 10 m in 60 seconds. Determine the amount of work done during the process.,a) 9807 J,b) 9307 J,c) 9507 J,d) 9107 J,a,"Explanation: F = mg			 W = ∫ F dx = F ∫ dx = F ∆x = 100 kg _ 9.80665 m/s2 _ 10 m			   = 9807 J. "
Question 62,"6. A hydraulic cylinder has a piston(cross sectional area 25cm2) and a fluid pressure of 2 MPa. If piston moves by 0.25m, how much work is done?",a) 0.25 kJ,b) 1.25 kJ,c) 2.25 kJ,d) 3.25 kJ,b,"Explanation: W = ∫ F dx = ∫ PA dx = PA ∆x			   = 2000 kPa _ 25 _ 10(-4) m2 _ 0.25 m = 1.25 kJ. "
Question 63,"7. In a thermally insulated kitchen, a refrigerator with 2 kW motor for running the compressor provides 6000 kJ of cooling to the refrigerated space during 30 min operation. If the condenser coil placed behind the refrigerator rejects 8000 kJ of heat to the kitchen during the same period, calculate the change in internal energy of the kitchen.",a) 3600 kJ,b) 2400 kJ,c) 4800 kJ,d) none of the mentioned,a,"Explanation: QKitchen = 0 (Insulated!),			 W(Electrical) = – P*∆_ = – 2 kW*30*60 sec = – 3600 kJ(It is negative because work is done on to the system)			 Change in internal energy of the kitchen (∆UKitchen) = QKitchen – WElectrical = 0 – (–3600) = 3600 kJ.  "
Question 64,8. An escalator raises a 100 kg bucket of sand 10 m in a minute. Determine the rate of work done during the process.,a) 143 W,b) 153 W,c) 163 W,d) 173 W,c,"Explanation: The work is force with a displacement and force is F = mg, which is constant			 W = ∫ F dx = F ∫ dx = F ∆x = 100 kg _ 9.80665 m/s2 _ 10 m = 9807 J			 The rate of work is work per unit time = W/∆t = 9807 J / 60 s = 163 W. "
Question 65,9. A crane lifts a bucket of cement with a mass of 450 kg vertically up with a constant velocity of 2 m/s. Find the rate of work.,a) 8.83 kW,b) 8.33 kW,c) 8.53 kW,d) 8.63 kW,a,"Explanation: Rate of doing work =  FV = mg _ V = 450 kg _ 9.807 ms^(_2) _ 2 ms^(_1)= 8826 J/s = 8.83 kW. "
Question 66,10. A battery is well insulated while being charged by 12.3 V at a current of 6 A. Take the battery as a control mass and find the instantaneous rate of work.,a) 63.8 W,b) 73.8 W,c) 83.8 W,d) 93.8 W,b,"Explanation: Battery thermally insulated _ Q = 0	     For constant voltage E and current i, Power = E i = 12.3 _ 6 = 73.8 W. "
Question 67,11. A current of 10 amp runs through a resistor with resistance of 15 ohms. Find the rate of work that heats the resistor up.,a) 1200 W,b) 1300 W,c) 1400 W,d) 1500 W,d,Explanation: Power = E i = R i^(2) = 15 _ 10 _ 10 = 1500 W. 
Question 68,12. A pressure of 650 kPa pushes a piston of radius 0.125 m with V = 5 m/s. What is the transmitted power?,a) 139.5 kW,b) 149.5 kW,c) 159.5 kW,d) 169.5 kW,c,"Explanation: A = π/4(D)2 = 0.049087 m2;			 Volume flow rate = AV = 0049087 m^2 _ 5 m/s = 0.2454 m3/s			 Power = F V = P(Volume flow rate) = 650 kPa _ 0.2454 m3/s = 159.5 kW. "
Question 69,"13. Air at a constant pressure in a piston-cylinder is at 300 K, 300 kPa and V=0.1 m^3. It is heated to 600 K in 30 seconds in a process with constant piston velocity. Find the power delivered to the piston.",a) 1 kW,b) 2 kW,c) 3 kW,d) 4 kW,a,"Explanation: Process: P = constant : dW = P dV			 V2 = V1_ (T2/T1) = 0.1 _ (600/300) = 0.2			 Rate = P (∆V / ∆t) = 300 _ (0.2-0.1)/30 = 1 kW. "
Question 70,14. A torque of 650 Nm rotates a shaft of radius 0.125 m with _ = 50 rad/s. What is the transmitted power?,a) 22.5 kW,b) 32.5 kW,c) 42.5 kW,d) 52.5 kW,b,"Explanation: V = _r = 50 _ 0.125 = 6.25 m/s			 Power = T_ = 650 _ 50 Nm/s = 32 500 W = 32.5 kW. "
Question 71,"1. The sun shines on a 150 m2 road surface so it is at 45°C. Below the 5cm thick asphalt(average conductivity of 0.06 W/m K), is a layer of rubbles at 15°C. Find the rate of heat transfer to the rubbles.",a) 5300 W,b) 5400 W,c) 5500 W,d) 5600 W,b,"Explanation: There is conduction through the asphalt layer.			 heat transfer rate =  k A ∆T/∆x = 0.06 _ 150 _(45-15)/0.05			 = 5400 W. "
Question 72,"2. A pot of steel(conductivity 50 W/m K), with a 5 mm thick bottom is filled with liquid water at 15°C. The pot has a radius of 10 cm and is now placed on a stove that delivers 250 W as heat transfer. Find the temperature on the outer pot bottom surface assuming the inner surface to be at 15°C.",a) 15.8°C,b) 16.8°C,c) 18.8°C,d) 19.8°C,a,"Explanation: Steady conduction, Q = k A ∆T/∆x _ ∆_ = Q ∆x / k_			 ∆T = 250 _ 0.005/(50 _ π/4 _ 0.22) = 0.796			 T = 15 + 0.796 = 15.8°C. "
Question 73,3. A water-heater is covered with insulation boards over a total surface area of 3 m2. The inside board surface is at 75°C and the outside being at 20°C and the conductivity of material being 0.08 W/m K. Find the thickness of board to limit the heat transfer loss to 200 W ?,a) 0.036 m,b) 0.046 m,c) 0.056 m,d) 0.066 m,d,"Explanation: Steady state conduction through board.			 Q = k A ∆T/∆x _ ∆_ = Q ∆x / k_			 ∆x = 0.08 _ 3 _(75 _ 20)/200 = 0.066 m. "
Question 74,"4. On a winter day with atmospheric air at _15°C, the outside front wind-shield of a car has surface temperature of +2°C, maintained by blowing hot air on the inside surface. If the wind-shield is 0.5 m2 and the outside convection coefficient is 250 W/Km2, find the rate of energy loss through front wind-shield.",a) 125 W,b) 1125 W,c) 2125 W,d) 3125 W,c,"Explanation: Q (conv) = h A ∆_ = 250 _ 0.5 _ [2 _ ( _15)]			 = 250 _ 0.5 _ 17 = 2125 W. "
Question 75,"5. A large heat exchanger transfers a total of 100 MW. Assume the wall separating steam and seawater is 4 mm of steel, conductivity 15 W/m K and that a maximum of 5°C difference between the two fluids is allowed. Find the required minimum area for the heat transfer.",a) 180 m2,b) 280 m2,c) 380 m2,d) 480 m2,d,"Explanation: Steady conduction			 Q = k A ∆T/∆x _ _ = Q ∆x / k∆_			 A = 100 _ 10^6 _ 0.004 / (15 _ 5) = 480 m2.  "
Question 76,6. The black grille on the back of a refrigerator has a surface temperature of 35°C with a surface area of 1 m2. Heat transfer to the room air at 20°C takes place with convective heat transfer coefficient of 15 W/Km^2. How much energy is removed during 15 minutes of operation?,a) 202.5 kJ,b) 212.5 kJ,c) 222.5 kJ,d) 232.5 kJ,a,"Explanation: Q = hA ∆T ∆t, Q = 15 _ 1 _ (35-20)_15_60 = 202500 J = 202.5 kJ. "
Question 77,7. A small light bulb (25 W) inside a refrigerator is kept on and 50 W of energy from the outside seeps into the refrigerated space. How much of temperature difference to the ambient(at 20°C) must the refrigerator have in its heat exchanger having an area of 1 m2 and heat transfer coefficient of 15 W/Km2 to reject the leak of energy.,a) 0°C,b) 5°C,c) 10°C,d) 15°C,b,"Explanation: Total energy that goes out = 50+25 = 75 W			 75 = hA∆T = 15 _ 1 _ ∆T hence ∆T = 5°C. "
Question 78,"8. As the car slows down, the brake shoe and steel drum continuously absorbs 25 W. Assume a total outside surface area of 0.1 m2 with a convective heat transfer coefficient of 10 W/Km2 to the air at 20°C. How hot does the outside brake and drum surface become when steady conditions are reached?",a) 25°C,b) 35°C,c) 45°C,d) 55°C,c,"Explanation: ∆_ = heat / hA  hence ∆T = [ _(BRAKE) _ 20 ] = 25/(10 _ 0.1) = 25°C			 _(BRAKE) = 20 + 25 = 45°C. "
Question 79,9. A burning wood in the fireplace has a surface temperature of 450°C. Assume the emissivity to be 1 and find the radiant emission of energy per unit area.,a) 15.5 kW/m2,b) 16.5 kW/m2,c) 17.5 kW/m2,d) 18.5 kW/m2,a,"Explanation: Q /A = 1 _ _ T^4			      = 5.67 _ 10–8_( 273.15 + 450)4				  = 15505 W/m2 = 15.5 kW/m2. "
Question 80,"10. A radiant heat lamp is a rod, 0.5 m long, 0.5 cm in diameter, through which 400 W of electric energy is deposited. Assume the surface emissivity to be 0.9 and neglecting incoming radiation, find the rod surface temperature?",a) 700K,b) 800K,c) 900K,d) 1000K,d,"Explanation: Outgoing power equals electric power			 T4= electric energy / __A=  400 / (0.9 _ 5.67 _10-8_ 0.5 _ π _ 0.005)			 = 9.9803 _10^11 K4 _ T = 1000K.  "
Question 81,11. A water-heater is covered up with insulation boards over a total surface area of 3 m2. The inside board surface is at 75°C and the outside surface is at 20°C and the board material has a conductivity of 0.08 W/m K. How thick a board should it be to limit the heat transfer loss to 200 W ?,a)  0.066 m,b)  0.166 m,c)  0.266 m,d)  0.366 m,a,"Explanation: Steady state conduction through a single layer board.			 _x = kA(_T)/Q			 _x = (0.08*3)*(75-20)/200 = 0.066 m. "
Question 82,"12. Find the rate of conduction heat transfer through a 1.5 cm thick hardwood board, k = 0.16 W/m K, with a temperature difference between the two sides of 20°C.",a) 113 W/m2,b) 213 W/m2,c) 230 W/m2,d) 312 W/m2,b,Explanation: . q = .Q/A = k _T/_x = 0.16 Wm /K _ 20K/0.015 m = 213 W/m2. 
Question 83,13. A 2 m2 window has a surface temperature of 15°C and the outside wind is blowing air at 2°C across it with a convection heat transfer coefficient of h = 125 W/m2K. What is the total heat transfer loss?,a) 2350 W,b) 1250 W,c) 2250 W,d) 3250 W,d,Explanation: .Q = h A _T = 125 W/m2K _ 2 m2 _ (15 – 2) K = 3250 W. 
Question 84,14. A radiant heating lamp has a surface temperature of 1000 K with _ = 0.8. How large a surface area is needed to provide 250 W of radiation heat transfer?,a) 0.0035 m2,b) 0.0045 m2,c) 0.0055 m2,d) 0.0065 m2,c,"Explanation: .Q = __AT^4			 A = .Q/(__T4) = 250/(0.8 _ 5.67 _ 10-8 _ 10004)			 = 0.0055 m2. "
Question 85,1. The transfer of heat between two bodies in direct contact is called,a) radiation,b) convection,c) conduction,d) none of the mentioned,c,Explanation: This is the definition of conduction.
Question 86,"2. Heat flow into a system is taken to be ____, and heat flow out of the system is taken as ____","a) positive, positive","b) negative, negative","c) negative, positive","d) positive, negative",d,Explanation: The direction of heat transfer is taken from the high temperature system to the low temperature system.
Question 87,"3. In the equation, dQ=TdX",a) dQ is an inexact differential,b) dX is an exact differential,c) X is an extensive property,d) all of the mentioned,d,Explanation: This is because heat transfer is a path function.
Question 88,4. The transfer of heat between a wall and a fluid system in motion is called,a) radiation,b) convection,c) conduction,d) none of the mentioned,b,Explanation: This is the definition of convection.
Question 89,"5. For solids and liquids, specific heat",a) depends on the process,b) is independent of the process,c) may or may not depend on the process,d) none of the mentioned,b,Explanation: It is the property of specific heat.
Question 90,7. Heat and work are,a) path functions,b) inexact differentials,c) depend upon the path followed,d) all of the mentioned,d,Explanation: It is an important point to remember regarding heat and work transfer.
Question 91,8. Latent heat is taken at,a) constant temperature,b) constant pressure,c) both of the mentioned,d) none of the mentioned,c,Explanation: The latent heat is heat transfer required to cause a phase change in a unit mass of substance at a constant pressure and temperature.
Question 92,9. Which of the following is true?,a) latent heat of fusion is not much affected by pressure,b) latent heat of vaporization is highly sensitive to pressure,c) both of the mentioned,d) none of the mentioned,c,Explanation: It is a general fact about latent heat.
Question 93,10. Heat transfer and work transfer are,a) boundary phenomena,b) energy interactions,c) energy in the transit,d) all of the mentioned,d,Explanation: It is an important point to remember regarding heat and work transfer.
Question 94,1. Energy has different forms which include,a) heat,b) work,c) all of the mentioned,d) none of the mentioned,c,Explanation: Basic fact about energy.
Question 95,2. Work input is directly proportional to heat and the constant of proportionality is called,a) joule’s equivalent,b) mechanical equivalent of heat,c) all of the mentioned,d) none of the mentioned,c,Explanation: True for a closed system undergoing a cycle.
Question 96,"3. The value of constant of proportionality, J, has the value",a) 1,b) 0,c) -1,d) infinity,a,"Explanation: In the S.I. system, both heat and work are measured in the derived unit of energy, the Joule."
Question 97,5. Which of the following represents the energy in storage?,a) heat,b) work,c) internal energy,d) none of the mentioned,c,Explanation: Energy in storage is internal energy or the energy of the system.
Question 98,"6. By first law of thermodynamics,",a) Q=_E-W,b) Q=_E+W,c) Q=-_E-W,d) Q=-_E+W,b,Explanation: Q-W is the net energy stored in system and is called internal energy of system.
Question 99,8. Which of the following is the first law for a closed system undergoing a cycle?,a) ∫dW=∫dQ,b) J∫dW=∫dQ,c) ∫dW=J∫dQ,d) none of the mentioned,c,Explanation: This is the expression for first law of thermodynamics where ∫ denotes the cyclic integral for the closed path.
Question 100,9. Which of the following an be considered as the definition of energy?,a) Q=_E+W,b) Q-W=_E,c) first law of thermodynamics,d) all of the mentioned,d,Explanation: The first law is a particular formulation of the principle of the conservation of energy.
