Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 54,Direct manufacturing labor costs is added into manufacturing overhead cost to calculate,transaction costs,conversion costs,resale costs,merchandise costs,B,No explanation
Question 55,If selling price is $5000 contribution margin per unit is $1000 then contribution margin percentage will be,12%,20%,5%,15%,B,No explanation
Question 56,An investment is multiplied to required rate of return to calculate,congruent cost of investment,transfer cost of investment,operating cost of investment,imputed cost of investment,D,No explanation
Question 57,Graphical representation of cost driver data and costs are considered as,plotting the data,plotting the costs,plotting the cost drivers,plotting curved line,A,No explanation
Question 58,If cost of goods sold is $8000 gross margin is $5000 then revenue will be,$13000 ,‰öÕ$13000,$3000 ,‰öÕ$3000,A,No explanation
Question 59,Cost allocation base used by an operating manager is classified as,machine hours,flexible hours,variable hours,fixed hours,A,No explanation
Question 60,First step in constant gross margin percentage Net realizable value (NRV) method is to allocate joint to compute,Gross margin percentage,total production cost of each product,allocated joint costs,cost of split off point,A,No explanation
Question 61,Evaluation criteria of regression equation must be considered as,goodness of fit,economic plausibility,significance of independent variable,all of above,D,No explanation
Question 62,If inventory level decreases then operating income under variable costing will be reported,more,less,zero,none of above,A,No explanation
Question 63,If target operating income is $38000 contribution margin per unit is $400 then number of units must be sold to earn targeted operating income will be,65 units,75 units,95 units,85 units,C,No explanation
Question 64,Products divisions and customers are examples of,revenue increment,reciprocal revenue,revenue allocation,revenue object,D,No explanation
Question 65,In cost terms direct manufacturing labor cost is included in,manufacturing costs,prime costs,conversion costs,both B and C,D,No explanation
Question 66,If revenue is $15000 total variable cost is $5000 and fixed cost $2000 then operating income will be,$4000 ,$8000 ,$5000 ,$3000 ,B,No explanation
Question 67,Cost of product failure error prevention and appraisals can be classified under,stocking costs,stock-out costs,costs of quality,shrinkage costs,C,No explanation
Question 68,Managers using capacity planning do not make,pricing decisions,marketing decisions,financial decisions,cost budgeting decisions,A,No explanation
Question 69,An indirect support labor costs and costs of indirect energy are considered as,variable batch costs,fixed batch costs,variable setup costs,fixed setup costs,C,No explanation
Question 70, Some of methods used for determining transfer prices are,market-based transfer prices,cost-based transfer prices,negotiated transfer prices,all of above,D,No explanation
Question 71,In assumptions of specific analysis normality of residuals is satisfied with use of,real price data,real cost data,multiplier data,divisional data,B,No explanation
Question 72,Consideration of decreased operating income relative to budgeted amount in static budget is classified as,revenue variance,cost variance,favorable variance,unfavorable variance,D,No explanation
Question 73,An actual quantity of cost allocation base is $56000 budgeted quantity of cost allocation base is $17000 then variable overhead efficiency variance is,$39000 ,$49000 ,$59000 ,$73000 ,A,No explanation
Question 74,In quantitative analysis to estimate cost function fourth step is to,write a liner function,write price function,write manufacturing function,plot the data,D,No explanation
Question 75,Flexible budget variance for revenues of company is classified as,selling price variance,investment variance,profit variance,primary variance,A,No explanation
Question 76,A concept used to define learning curve in broader application is called,discrete curve,fixed curve,mixed curve,experience curve,D,No explanation
Question 77,If total revenue is $9000 total variable cost is $2000 then contribution margin will be,$11000 ,‰öÕ$7000,$4500 ,$7000 ,D,No explanation
Question 78,If flexible budget variance is $105000 actual cost is $65000 then flexible budget cost will be,$40000 ,$50000 ,$150000 ,$170000 ,A,No explanation
Question 79,Cost incur for defective products after their shipment to customers is classified as,prevention costs,external failure costs,appraisal costs,internal failure costs,B,No explanation
Question 80,Large residual term and negative slope of line indicate,inverse proportion,direct proportion,badness proportions,goodness proportion,A,No explanation
Question 81,Competitiveness can be best measured by,Gross margin,income margin,sales margin,cost margin,A,No explanation
Question 82,Partial or completed units of manufactured goods that do not meet customer specifications and get sold at reduced price or simply discarded are called,spoilage,rework,scrap,equivalence,A,No explanation
Question 83,Gross margin is added to cost of sold goods to calculate,revenues,selling price,unit price,bundle price,A,No explanation
Question 84,If contribution margin is $12000 total variable cost is $7000 then total revenue will be,$5000 ,‰öÕ$5000,$19000 ,‰öÕ$19000,A,No explanation
Question 85,In process and job costing system normal spoilage cost is considered as,conversion costs,sunk costs,inventoriable costs,non inventoriable costs,C,No explanation
Question 86,Budgeted fixed manufacturing cost is divided by budgeted fixed manufacturing cost per unit to calculate,fixed material price,variable materials price,fixed production units,budgeted production units,D,No explanation
Question 87,Cost influences by responsibility center manager who is considered as,manager cost,influential cost,center cost,controllable cost,D,No explanation
Question 88,Success of cost reduction initiatives are evaluated by accurate,cyclical factors,indexed technique,price estimation,cost estimation,D,No explanation
Question 89,Budgeted total cost in indirect cost pool is divided by budgeted total quantity of cost allocation base is calculated by,budgeted direct cost rate,budgeted indirect cost rate,expected indirect cost rate,direct budget percentage,B,No explanation
Question 90,If indirect manufacturing labor is $20000 power cost is $5000 maintenance and supplies are of $10000 then manufacturing budget will be,$5000 ,$35000 ,$15000 ,$45000 ,B,No explanation
Question 91,Step of installing production scheduling procedure to improve plant operations is considered as,potential cost response,potential budget response,potential management response,potential price response,C,No explanation
Question 92,Conversion cost is $2000 and manufacturing overhead cost is $7000 then direct manufacturing labor cost will be,$27000 ,$13000 ,$130000 ,$29500 ,B,No explanation
Question 93,Activities related to coordinating controlling and planning flow of inventory are classified as,decisional management,throughput management,inventory management,manufacturing management,C,No explanation
Question 94,An actual input quantity is 200 units and budgeted input quantity is 50 units then efficiency variance will be,275 units,250 units,150 units,650 units,C,No explanation
Question 95,Quality aspect that refers how well product fulfills customer demands is classified as,learning quality,design quality,conformance quality,business process quality,B,No explanation
Question 96,An additional cost incurred for some specific activity to bring processed product on to next production stage is,partial cost,relevant cost,incremental cost,irrelevant cost,C,No explanation
Question 97,Practice by seller about offering same product at different prices to different customers is known as,price incurrence,price discrimination,price targeting,price engineering,B,No explanation
Question 98,If budgeted annual indirect cost is $60000 budgeted annual quantity of cost allocation base is $3600 then budgeted indirect cost rate will be,15.67 per piece,16.67 per piece,14.67 per piece,13.67 per piece,B,No explanation
Question 99,Which one of following is main advantage of quantitative method?,non expression,non constant,objective,non objective,C,No explanation
Question 100,Type of distribution which describes whether events to be occurred are mutually exclusive or collectively exhaustive can be classified as,mutual distribution,probability distribution,collective distribution,marginal distribution,B,No explanation
Question 101,Fixed rate of calculation is based on the,capacity used,capacity available,capacity utilization,downward demand,B,No explanation
Question 102,Degree which predetermines target or income achieved can be grouped under,growth evaluation,performance evaluation,efficiency,effectiveness,D,No explanation
Question 103,An under allocated indirect cost is also called,under applied indirect cost,under absorbed indirect cost,absorbed indirect cost,both a and b,D,No explanation
Question 104,An implementation of activity based costing would be possible only if accountants find,goodness of each activity,handling of each activity,cost driver for each activity,cost object for each activity,C,No explanation
Question 105,Cost which is related to specific cost object and economically traceable will be classified as,direct cost,indirect cost,line cost,staff cost,A,No explanation
Question 106,Total costs incur in a production process is divided by total number of output units to calculate the,cost of indirect labor,cost of direct labor,cost of direct material,unit costs,D,No explanation
Question 107,Process of ensuring preventive measure to be done in all machines is classified as,potential price response,potential cost response,potential budget response,potential management response,D,No explanation
Question 108,If number of employees who left job are 40 total number of employees are 200 then employee turnover ratio will be,0.6,0.5,0.2,0.7,C,No explanation
Question 109,If an actual cost incurred is $627500 flexible budget amount is $358750 then fixed overhead variance of flexible-budget will be,$218750 ,$238750 ,$258750 ,$268750 ,D,No explanation
Question 110,In normal costing situation in which allocated amount of indirect cost is greater than incurred cost is considered as,incurred indirect cost,over allocated indirect cost,applied indirect cost,applied direct cost,B,No explanation
Question 111,If beginning work in process equivalent units are 2500 units work done in current period equivalent units are 3800 units and ending work in process equivalent units are 5000 then complete equivalent units in current period are,1800 units,1500 units,1300 units,1500 units,C,No explanation
Question 112,In an activity based cost system; an activity/unit of work or task with differentiated purposes will be classified as,different task,purpose cost, an activity, an allocation cost,C,No explanation
Question 113,If budgeted input price is $50 price variance is $30 then an actual price will be,$100 ,$20 ,$80 ,$60 ,C,No explanation
Question 114,Kind of costs that has been occurred in past are also known as,unrecorded costs,recorded costs,sunk costs,bunked costs,C,No explanation
Question 115,If contribution margin per unit is $5000 selling price is $1500 and variable manufacturing cost per unit is $1200 then per unit cost of marketing will be,$4200 ,$2300 ,$7700 ,$6700 ,B,No explanation
Question 116,If actual selling price is $500 actual result is $250 and actual units sold are 350 then selling price variance will be,$87500 ,$97500 ,$67500 ,$57500 ,A,No explanation
Question 117,Fixed cost is divided by break-even revenues to calculate,cost margin,fixed margin,revenue margin,contribution margin,D,No explanation
Question 118,An accounting approach in which expected benefits exceed expected cost is classified as,benefit approach,cost approach,cost-benefit approach,accounting approach,C,No explanation
Question 119,An approach in which restating amounts in general ledgers by using actual cost rates is classified as,unadjusted cost approach,adjusted allocation rate approach,unadjusted allocation approach,adjusted cost approach,B,No explanation
Question 120,Factor which is largely considered in making or buying decisions is ,quality of suppliers,dependability of suppliers,production irrelevancy,both a and b,D,No explanation
Question 121, A joint cost allocation method is based on relative value of total sales at point of split off is classified as,sales value at split off method,joint costs at split off point method,joint products value at split off method,main product cost at split off method,A,No explanation
Question 122,Flow of goods and services from start of gathering materials until delivery of products is known as,flow chart analysis,supply chain analysis,resource chain analysis,acquiring analysis,B,No explanation
Question 123,Types of spoilage include,normal spoilage,abnormal spoilage,weighted spoilage,both a and b,D,No explanation
Question 124,If direct service labor is $7000 idle time wages are $2000 and overtime premium is $950 then total figure would be,$5850 ,$5950 ,$9950 ,$10050 ,C,No explanation
Question 125,Last step in developing operating budget is,implementing income,implementing the decision,efficient implementation,effective implementation,B,No explanation
Question 126,Considering two fiscal years 2013 and 2014 actual units sold in 2013 and 2014 are 11000 and 12500 units respectively and selling price in year 2013 is $50 then revenue effect of growth will be,$70000 ,$75000 ,$65000 ,$73000 ,B,No explanation
Question 127,If direct material cost of goods sold is $7500 and through contribution is $15650 then revenues will be,$8150 ,$23150 ,$33150 ,$13150 ,B,No explanation
Question 128,Balanced scorecard perspective measures company's success in targeted segments of customers this perspective can also be classified as,internal business process perspective,customer perspective,learning perspective,financial perspective,B,No explanation
Question 129,In assumptions testing violation of constant variance is called,heteroscedasticity,heterogeneous,homogenous,homoscedasticity,A,No explanation
Question 130,If actual result is $26000 flexible budget amount is $13000 then flexible budget amount will be,$39000 ,$49000 ,$13000 ,$15000 ,C,No explanation
Question 131, third step in decision making process is,linear predictions,dependent predictions,making predictions,independent predictions,C,No explanation
Question 132,Step by step business functions in which product or services must have customer usefulness is classified as,value chain,useful chain,product chain,services chain,A,No explanation
Question 133,In cause and effect relationship between cost level and cost driver inflationary price effects are removed by dividing cost through,price index,cost index,profit index,cost driver index,A,No explanation
Question 134,Quantity of input which is carefully determined is called,output unit,input unit,standard input,standard output,C,No explanation
Question 135,Fishbone diagram is an example of,relevant costing diagram,cause and effect diagram,control chart,Pareto diagram,B,No explanation
Question 136,If an initial investment is $765000 payback period is 4.5 years then increase in future cash flow will be,$5645000 ,$6442500 ,$3442500 ,$5442500 ,C,No explanation
Question 137,A group of individual indirect cost item is defined as,direct pool,cost pool,indirect pool,item pool,B,No explanation
Question 138,Which one of following is an example of spoilage?,short lengths from wood work,defective aluminum cans recycled by manufacturer,detection of defective pieces before shipment,all of above,B,No explanation
Question 139,Capacity utilization of business to satisfy average customer's demand for current budget period of time is termed as,master budget capacity utilization,finite cost utilization,infinite cost utilization,infinite budget capacity utilization,A,No explanation
Question 140,Costs of all activities for individual products or services can be called,purpose level costs,output-unit level costs,input-unit level costs,activity level costs,B,No explanation
Question 141,Total indirect cost in pool by an actual quantity of cost allocation base is used to calculate,actual manufacturing overhead rate,manufacturing overhead costs,overhead rate,direct rate,A,No explanation
Question 142,Decisions regarding usage of material kind and changes in plant processing are a part of,past management,future management,help management,cost management,D,No explanation
Question 143,System in an organization that articulates purpose mission and core values of a company is classified as,interactive control system,belief system,boundary system,diagnostic control system,B,No explanation
Question 144,If fixed cost is $30000 contribution margin percentage is 40% then breakeven revenue will be,$120000 ,$75000 ,$12000 ,$175000 ,B,No explanation
Question 145,Difference between actual variable overhead cost and flexible budget variable overhead amount is termed as,overhead flexible budget variance,overhead fixed budget variance,overhead flexible cost variance,overhead flexible price variance,A,No explanation
Question 146,Incurred costs to exclude production of goods that do not meet specification are called,rework costs,prevention costs,incremental costs,reengineering costs,B,No explanation
Question 147,If total sales are $250000 beginning inventory is $25000 and ending inventory is $25000 then total production would be,$250000 ,$350000 ,$300000 ,$400000 ,C,No explanation
Question 148,An approach in which over allocated and under allocated is spread in ending balance of finished goods control is called,allocation approach,unadjusted approach,proration approach,adjusted approach,C,No explanation
Question 149,Variable cost per unit is multiplied to quantity of sold units to calculate,per unit cost,variable cost,fixed cost,multiple cost,B,No explanation
Question 150,Required rate of return is multiplied per unit cost of purchased units to calculate,irrelevant inventory carrying costs,relevant opportunity cost of capital,relevant purchase order costs,relevant inventory carrying costs,B,No explanation
Question 151,An amount of available capacity other than employed capacity to meet customer's demand is classified as,targeted capacity,budgeted capacity,recovery capacity,unused capacity,D,No explanation
Question 152,In master budgeting cost drivers for manufacturing overhead costs are,direct manufacturing labor-hours,setup labor-hours,budgeted labor-hours,both a and b,D,No explanation
Question 153,Difference between actual result and corresponding amount of flexible budget on basis of actual level of output is classified as,sales mix variance,sales volume variance,flexible budget variance,static budget variance,C,No explanation
Question 154,A unit cost calculated in costing system by assigning total costs incurred to many similar units is categorized as,accounting period costing system,process costing system,job costing system,none of above,B,No explanation
Question 155,Units of normal spoilage are divided to total completed units rather than total actual produced units to calculate,normal spoilage rates,abnormal spoilage rates,normal scrap rates,abnormal scrap rates,A,No explanation
Question 156,If capacity utilization and its cost are fixed in product costing capacity management is,for short run,for long run,for one day,for few days,A,No explanation
Question 157,An ability of an accounting system to point out use of resources in every step of production process is called,back-flush trails,audit trails,trigger trails,lead manufacturing trails,B,No explanation
Question 158,Categories of cash flows include,net initial investment,cash flow from operations after paying taxes,cash flow from terminal disposal after paying taxes,all of above,D,No explanation
Question 159,In operating income strategic analysis strategic component which measures change in cost attributed to price of input in current year relative to price of input material in last year can be classified as,internal process component,growth component,price recovery component,productivity component,D,No explanation
Question 160,In an activity based costing implementation product's diverse demand is based on,batch size,complexity,process steps,all of above,D,No explanation
Question 161,Budgeted fixed manufacturing cost for per unit which is used to measure per unit cost of supplying is called,indirect labor,capacity,raw material,direct labor,B,No explanation
Question 162,Document which contains information about used material sequence detail and quantity of raw material is classified as,bill of materials,bill of sequence,bill of detail,bill of raw materials,A,No explanation
Question 163,An amount of spoilage that is not natural in a specific production process is categorized as,normal scrap,normal spoilage,abnormal spoilage,weighted spoilage,C,No explanation
Question 164,As compared to irrelevant cost occurrence of relevant costs must,have high correlation,be in future,be in past,be zero correlated,B,No explanation
Question 165,In corporate costs costs incur for employee recruitment development and training are classified as,discretionary costs,human resource management costs,corporate administration costs,treasury costs,B,No explanation
Question 166,If static budget amount is $9000 flexible budget amount is $20000 then sales volume variance will be,$29000 ,$11000 ,$15000 ,$10000 ,B,No explanation
Question 167,Systematic flow of services goods or information from buying material for product delivery to customers is known as,supply chain,value chain,material flow chain,manufacturing flow chain,A,No explanation
Question 168,If gross margin is $2000 and revenue is $5000 then cost of goods sold would be,‰öÕ$8000,$3000 ,‰öÕ$3000,$8000 ,B,No explanation
Question 169,Costs associated with storage of finished goods such as spoilage obsolescence and insurance of goods are classified as,carrying costs,purchasing costs,stock-out costs,ordering costs,A,No explanation
Question 170,Type of budget which is always available for specified period of future is called,period budget,batch budget,discontinued budget,continuous budget,D,No explanation
Question 171,If revenues are $25000 and through put contribution is $12000 then direct material cost of goods sold will be,$57000 ,$37000 ,$47000 ,$13000 ,D,No explanation
Question 172,Material or anything for which cost is to be measured is known as,measurement object,cost object,accounting object,budget object,B,No explanation
Question 173,In absorption costing contribution margin per unit fixed operating and manufacturing costs are all dependents of,profit point,breakeven point,production point,cost point,B,No explanation
Question 174,An approach which yields benefits of normal costing and actual manufacturing overhead is classified as,unadjusted allocation rate approach,adjusted budget rate approach,unadjusted budget rate approach,adjusted allocation rate approach,D,No explanation
Question 175,If static budget is $208000 and flexible budget amount is $305000 then sales budget variance will be,$67000 ,$97000 ,$57000 ,$47000 ,B,No explanation
Question 176,If an actual variable quantity is 50 actual and budgeted overhead cost of allocation is $7550 and $4500 respectively then variable overhead spending variance could be,$182500 ,$152500 ,$162500 ,$172500 ,B,No explanation
Question 177,Total cost incur by customer to use acquire maintain and dispose service or product is classified as,budgeted life cycle,targeted life cycle,customer life cycle,operating life cycle,C,No explanation
Question 178,An organization's ability to offer market offerings at lower prices in comparison with its competitors is known as,inelastic demand,product differentiation,cost leadership,elastic demand,C,No explanation
Question 179, If cost is eliminated then reducing perceived usefulness that customers can obtain by using market offering will come under,designed-in costs,locked-in costs,value added cost,non-value added cost,C,No explanation
Question 180,Decisions made by team of individuals or single person whether to outsource products or in-source are classified as,demand or supply decisions,make or buy decisions,relevant or irrelevant decision,idle or busy decisions,B,No explanation
Question 181,Process of assigning direct or indirect cost to any cost object is known as,cost assignment,cost expectation,event assignment,probability assignment,A,No explanation
Question 182,Weak relationship between cost and cost driver is indicated on a regression line which is,curved,slightly sloped,completely sloped,dotted,B,No explanation
Question 183,An unfavorable volume-production variance is used to measure amount of,fixed setup cost,total setup cost,variable setup cost,total overhead cost,A,No explanation
Question 184,Fixed cost is added to target operating income and then divided to contribute margin per unit to calculate,quantity of units required to sold,selling of units,sold units,contributed units,A,No explanation
Question 185,If current assets are $250000 and current liabilities are $135500 then working capital would be,$3855500 ,$314500 ,$214500 ,$114500 ,D,No explanation
Question 186,For estimation of each cost pool for cost function attention must be paid to,cost object hierarchy,management hierarchy,price hierarchy,cost hierarchy,D,No explanation
Question 187,If net initial investment is $6850000 and uniform increases yearly cash flows is $2050000 then payback period will be,3.34 years,4.34 years,5.34 years,6.34 years,A,No explanation
Question 188,In incremental cost allocation method cost object user who is ranked third in ranking order is classified as,First incremental user,primary user,secondary user,second incremental user,D,No explanation
Question 189,Subtracted flexible budget amount can form an actual result to calculate,unstated budget variance,flexible budget variance,constant budget variance,static budget variance,B,No explanation
Question 190,Difference that exists between total revenues can be earned from two different alternatives is termed as,independent revenue,incremental revenue,differential revenue,dependent revenue,C,No explanation
Question 191,In a joint process of production product which yields low volume of sales as compared to total sales of other products specify as,Second incremental product,First incremental product,step down product,byproduct,D,No explanation
Question 192,Number of employees who left company divided by average number of employees to calculate ratio is called,employee turnover ratio,employee empowerment ratio,employee satisfaction ratio,employee training percentage,A,No explanation
Question 193,Cost which is changed in proportion to level total volume is,fixed cost,variable cost,total cost,infeasible cost,B,No explanation
Question 194,In actual costing an actual quantity of used inputs are multiplied with actual prices to calculate,fixed direct manufacturing cost,variable direct manufacturing cost,fixed indirect manufacturing cost,variable indirect manufacturing cost,A,No explanation
Question 195,Throughout period costs costing methods are treated as,manufacturing in period,expenses of period,incurred in period,accrual in period,B,No explanation
Question 196,Net initial investment is divided by uniform increasing in future cash flows to calculate,discounting period,investment period,payback period,earning period,C,No explanation
Question 197,Contribution margin is $34000 and operating income is $12000 then degree of operating leverage will be,4.84,2.84,3.84,5.84,B,No explanation
Question 198,Costs of goods acquired from suppliers are classified as,stock-out costs,ordering costs,carrying costs,purchasing costs,D,No explanation
Question 199,Function of management accountant who works as business partner comes under category of,asset function,investment function,line function,staff function,D,No explanation
Question 200,If total production is 25000 units and target annual operating income is $300000 then target operating income per unit would be,$15 ,$12 ,$16 ,$18 ,B,No explanation
Question 201,Costs that are planned in future and has not been incurred are known as,designed-in costs,locked-in costs,value added cost,both a and b,A,No explanation
Question 202,Terms used in manufacturing cost systems are,manufacturing costs,prime costs,conversion costs,both B and C,D,No explanation
Question 203,An average unit cost applicable to each similar produced unit is classified as,per unit cost,per post cost,per price cost,application cost,A,No explanation
Question 204,Broad's average use to assign cost of revenue to cost objects will be classified as,refined costing system,refined selling system,undefined costing,defined selling system,A,No explanation
Question 205,Target annual operating income is divided with invested capital to calculate,target rate of return on investment,operating income per unit,operating cost per unit,cost of goods sold,A,No explanation
Question 206,Balanced scorecard perspective focuses on all operations and it leads to value creation process for customers can be categorized as,learning perspective,financial perspective,internal business process perspective,customer perspective,C,No explanation
Question 207,Difference between final sales value and separable costs is equal to,net income,net realizable value,Gross margin,Gross realizable value,B,No explanation
Question 208,An example of quantitative factor is,employee behavior at workplace,employee satisfaction,employee morale,cost of materials,D,No explanation
Question 209, relevant costs are classified in relevance concepts as,expected future costs,serial costs,parallel costs,abnormal costs,A,No explanation
Question 210,Recalculation of demand can be avoided by using practical capacity while calculation of budgeted fixed manufacturing per unit cost as,denominator,numerator,multiplier,equalizer,A,No explanation
Question 211,If budgeted direct labor hours are 4550 and direct labor cost rate is $600 per labor hour then total direct labor cost would be,$4730000 ,$3730000 ,$2730000 ,$1730000 ,C,No explanation
Question 212,Difference between absorption and variable costing is accountability of,direct overhead,indirect overhead cost,fixed manufacturing cost,variable manufacturing cost,C,No explanation
Question 213,A technique which accumulates and tracks costs of business function in value chain attributed to each market offering from R&amp;D to final customer support is called,product life cycle,life cycle budgeting,life cycle costing,target costing,C,No explanation
